item_id,gold_ids,original_predicted_ids,label_scrubbed_predicted_ids,status_scrubbed_predicted_ids,lineage_removed_predicted_ids,item_metadata_removed_predicted_ids,label_status_lineage_metadata_removed_predicted_ids,block_ref_removed_predicted_ids,query_ref_removed_predicted_ids,label_scrub_exact,status_scrub_exact,lineage_removed_exact,item_metadata_removed_exact,label_status_lineage_metadata_removed_exact,block_ref_removed_empty,query_ref_removed_empty
git_doc_nonce_option_express_history_md_019_current_first_code_a_current,d019_stale,d019_stale,d019_stale,d019_stale,d019_stale,d019_stale,d019_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_019_current_first_code_b_current,d019_stale,d019_stale,d019_stale,d019_stale,d019_stale,d019_stale,d019_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_005_current_first_code_a_current,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_005_current_first_code_b_current,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_community_faq_rst_009_current_first_code_a_current,d009_stale,d009_stale,d009_stale,d009_stale,d009_stale,d009_stale,d009_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_community_faq_rst_009_current_first_code_b_current,d009_stale,d009_stale,d009_stale,d009_stale,d009_stale,d009_stale,d009_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_quickstart_rst_003_current_first_code_a_current,d003_stale,d003_stale,d003_stale,d003_stale,d003_stale,d003_stale,d003_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_quickstart_rst_003_current_first_code_b_current,d003_stale,d003_stale,d003_stale,d003_stale,d003_stale,d003_stale,d003_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_020_stale_first_code_a_current,d020_stale,d020_stale,d020_stale,d020_stale,d020_stale,d020_stale,d020_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_020_stale_first_code_b_current,d020_stale,d020_stale,d020_stale,d020_stale,d020_stale,d020_stale,d020_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_006_stale_first_code_a_current,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_006_stale_first_code_b_current,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_community_faq_rst_010_stale_first_code_a_current,d010_stale,d010_stale,d010_stale,d010_stale,d010_stale,d010_stale,d010_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_community_faq_rst_010_stale_first_code_b_current,d010_stale,d010_stale,d010_stale,d010_stale,d010_stale,d010_stale,d010_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_quickstart_rst_004_stale_first_code_a_current,d004_stale,d004_stale,d004_stale,d004_stale,d004_stale,d004_stale,d004_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_quickstart_rst_004_stale_first_code_b_current,d004_stale,d004_stale,d004_stale,d004_stale,d004_stale,d004_stale,d004_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_031_current_first_code_a_current,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_031_current_first_code_b_current,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_025_current_first_code_a_current,d025_stale,d025_stale,d025_stale,d025_stale,d025_stale,d025_stale,d025_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_025_current_first_code_b_current,d025_stale,d025_stale,d025_stale,d025_stale,d025_stale,d025_stale,d025_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_user_advanced_rst_011_current_first_code_a_current,d011_stale,d011_stale,d011_stale,d011_stale,d011_stale,d011_stale,d011_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_user_advanced_rst_011_current_first_code_b_current,d011_stale,d011_stale,d011_stale,d011_stale,d011_stale,d011_stale,d011_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_api_rst_005_current_first_code_a_current,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_api_rst_005_current_first_code_b_current,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,d005_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_032_stale_first_code_a_current,d032_stale,d032_stale,d032_stale,d032_stale,d032_stale,d032_stale,d032_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_032_stale_first_code_b_current,d032_stale,d032_stale,d032_stale,d032_stale,d032_stale,d032_stale,d032_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_026_stale_first_code_a_current,d026_stale,d026_stale,d026_stale,d026_stale,d026_stale,d026_stale,d026_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_changelog_md_026_stale_first_code_b_current,d026_stale,d026_stale,d026_stale,d026_stale,d026_stale,d026_stale,d026_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_user_advanced_rst_012_stale_first_code_a_current,d012_stale,d012_stale,d012_stale,d012_stale,d012_stale,d012_stale,d012_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_user_advanced_rst_012_stale_first_code_b_current,d012_stale,d012_stale,d012_stale,d012_stale,d012_stale,d012_stale,d012_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_api_rst_006_stale_first_code_a_current,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_api_rst_006_stale_first_code_b_current,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,d006_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_045_current_first_code_a_current,d045_stale,d045_stale,d045_stale,d045_stale,d045_stale,d045_stale,d045_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_045_current_first_code_b_current,d045_stale,d045_stale,d045_stale,d045_stale,d045_stale,d045_stale,d045_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_readme_md_031_current_first_code_a_current,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_axios_readme_md_031_current_first_code_b_current,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,d031_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_community_faq_rst_015_current_first_code_a_current,d015_stale,d015_stale,d015_stale,d015_stale,d015_stale,d015_stale,d015_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_requests_docs_community_faq_rst_015_current_first_code_b_current,d015_stale,d015_stale,d015_stale,d015_stale,d015_stale,d015_stale,d015_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_api_rst_007_current_first_code_a_current,d007_stale,d007_stale,d007_stale,d007_stale,d007_stale,d007_stale,d007_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_flask_docs_api_rst_007_current_first_code_b_current,d007_stale,d007_stale,d007_stale,d007_stale,d007_stale,d007_stale,d007_stale,,,True,True,True,True,True,True,True
git_doc_nonce_option_express_history_md_046_stale_first_code_a_current,d046_stale,d046_stale,d046_stale,d046_stale,d046_stale,d046_stale,d046_stale,,,True,True,True,True,True,True,True
